   statname   | statmin | statmax | nrfitrules | nrrandrules
 avgClustCoef |       0 |    0.25 |       1614 |         985
 avgClustCoef |    0.25 |     0.5 |        761 |         372
 avgClustCoef |     0.5 |    0.75 |        902 |         123
 avgClustCoef |    0.75 |       1 |        780 |         196
 diameter     |       1 |      64 |       1035 |        1430
 diameter     |      64 |     128 |        428 |          96
 diameter     |     128 |     192 |        327 |          86
 diameter     |     192 |     256 |        555 |          86
 nrCcs        |       1 |      64 |       1716 |        1698
 nrCcs        |      64 |     128 |       1739 |           2
 nrCcs        |     128 |     192 |       1824 |           0
 nrCcs        |     192 |     256 |       1770 |           0
 nrCcSizes    |       1 |       6 |       1463 |        1694
 nrCcSizes    |       6 |      12 |        997 |           6
 nrCcSizes    |      12 |      18 |       1377 |           0
 nrCcSizes    |      18 |      24 |       1752 |           0
 nrInDegrees  |       1 |       6 |        367 |        1427
 nrInDegrees  |       6 |      12 |        551 |         224
 nrInDegrees  |      12 |      18 |        556 |          44
 nrInDegrees  |      18 |      24 |        400 |           5
